Order_ID,Order_Date,Region,State,Product_Category,Product_Name,Sales_Amount,Quantity,Profit,Customer_Segment,Salesperson
1,2025-12-28,South,Telangana,Office Supplies,Paper,4765,5,1184.47,Consumer,Meena
2,2024-11-22,South,Karnataka,Furniture,Table,3336,6,245.48,Home Office,Vikram
3,2025-12-29,East,West Bengal,Office Supplies,Pen,8472,8,893.87,Corporate,Priya
4,2024-04-19,North,Delhi,Office Supplies,Printer,1855,5,112.96,Consumer,Karan
5,2024-11-08,South,Kerala,Electronics,Laptop,5320,10,1436.87,Home Office,Anjali
6,2026-02-04,West,Maharashtra,Furniture,Sofa,2980,5,331.94,Consumer,Priya
7,2024-09-20,West,Maharashtra,Furniture,Chair,3580,5,910.66,Consumer,Arjun
8,2025-07-25,North,Delhi,Office Supplies,Notebook,9037,7,2658.21,Home Office,Meena
9,2024-03-07,South,Telangana,Furniture,Sofa,1008,2,91.9,Home Office,Karan
10,2025-05-13,East,Odisha,Office Supplies,Paper,10791,9,2328.83,Corporate,Meena
11,2025-01-14,East,West Bengal,Furniture,Sofa,11104,8,2964.48,Consumer,Arjun
12,2025-02-06,East,West Bengal,Electronics,Mobile,14750,10,2605.94,Consumer,Rahul
13,2024-08-26,South,Kerala,Office Supplies,Pen,6840,10,1753.72,Consumer,Sneha
14,2025-06-11,North,UP,Electronics,Tablet,250,1,71.77,Home Office,Rahul
15,2025-05-17,East,West Bengal,Office Supplies,Printer,2982,7,616.2,Consumer,Rahul
16,2025-04-01,South,Kerala,Electronics,Tablet,17680,10,2569.58,Consumer,Rahul
17,2024-07-26,East,Bihar,Furniture,Chair,4823,7,416.69,Consumer,Vikram
18,2025-01-07,South,Karnataka,Furniture,Desk,5096,4,959.67,Corporate,Rohit
19,2025-11-11,North,UP,Electronics,Tablet,12201,7,2127.16,Corporate,Anjali
20,2025-10-27,North,Punjab,Furniture,Sofa,11776,8,3388.61,Home Office,Amit
21,2025-10-02,North,Delhi,Office Supplies,Paper,5706,9,1026.47,Corporate,Rahul
22,2025-09-30,North,Punjab,Electronics,Mobile,2628,6,787.46,Consumer,Rohit
23,2025-06-20,South,Tamil Nadu,Electronics,Mobile,4065,3,441.05,Home Office,Amit
24,2025-04-09,South,Karnataka,Furniture,Sofa,2514,6,225.91,Home Office,Rahul
25,2024-05-13,North,UP,Office Supplies,Printer,6105,5,1603.44,Home Office,Rohit
26,2024-08-19,East,West Bengal,Furniture,Table,524,4,38.9,Consumer,Karan
27,2024-08-30,West,Maharashtra,Office Supplies,Notebook,784,1,75.97,Consumer,Rahul
28,2025-06-25,West,Rajasthan,Office Supplies,Printer,10900,10,1200.67,Consumer,Sneha
29,2024-08-29,West,Maharashtra,Furniture,Sofa,2198,7,521.9,Home Office,Anjali
30,2025-08-04,West,Gujarat,Electronics,Laptop,5700,4,443.22,Corporate,Sneha
31,2025-07-20,East,Bihar,Furniture,Table,891,1,190.98,Home Office,Arjun
32,2024-03-30,South,Telangana,Furniture,Chair,4944,8,330.36,Consumer,Karan
33,2025-01-19,West,Maharashtra,Electronics,Tablet,14296,8,1019.53,Home Office,Amit
